sample_id,status,vol_rel,hausdorff,xi_l2,p_value,p_pc,p_xi,z_hausdorff,z_chamfer,code_success,code_error_type,code_error_msg,generated_path,truth_path,error
20251218_033650_brass_spacer_tube_v1,ok,0.6926989239187252,6.822352448563348,25.257176309479277,0.0,0.0,0.0,6822352.4485633485,51626854.799174026,True,,,generated/qwen2.5-vl-72b-instruct/20251218_033650_brass_spacer_tube_v1.py,data/models/20251218_033650_brass_spacer_tube_v1.py,
20251218_033651_dowel_pin_brass_v1,ok,0.023663739237239936,14.009092128685133,10.778039654283,0.0,0.0,0.0,14009092.128685134,187869799.4372367,True,,,generated/qwen2.5-vl-72b-instruct/20251218_033651_dowel_pin_brass_v1.py,data/models/20251218_033651_dowel_pin_brass_v1.py,
20251218_033652_grip_handle_spacer_v1,ok,0.1251974974812299,9.848857801796104,29.621942392975942,0.0,0.0,0.0,9848857.801796105,46727545.88983317,True,,,generated/qwen2.5-vl-72b-instruct/20251218_033652_grip_handle_spacer_v1.py,data/models/20251218_033652_grip_handle_spacer_v1.py,
20251218_033652_hook_bracket_v1,ok,1.520476261127026,36.069377593742864,106.4054302768225,0.0,0.0,0.0,36069377.59374286,1213990935.9898994,True,,,generated/qwen2.5-vl-72b-instruct/20251218_033652_hook_bracket_v1.py,data/models/20251218_033652_hook_bracket_v1.py,
20251218_033654__sliding_joint_v1,ok,0.2836846498172874,9.013878188659973,97.26438763202164,0.0,0.0,0.0,9013878.188659973,129430726.10083713,True,,,generated/qwen2.5-vl-72b-instruct/20251218_033654__sliding_joint_v1.py,data/models/20251218_033654__sliding_joint_v1.py,
20251218_033654_box_with_fillet_v1,ok,0.009022419348556307,30.4138126514911,59.31226199285313,0.0,0.0,0.0,30413812.6514911,699999999.9999999,True,,,generated/qwen2.5-vl-72b-instruct/20251218_033654_box_with_fillet_v1.py,data/models/20251218_033654_box_with_fillet_v1.py,
20251218_033654_cube_with_beveled_corners_v1,ok,0.057827926657263974,7.0710678118654755,6.53074053992296,0.0,0.0,0.0,7071067.811865476,100000000.00000001,True,,,generated/qwen2.5-vl-72b-instruct/20251218_033654_cube_with_beveled_corners_v1.py,data/models/20251218_033654_cube_with_beveled_corners_v1.py,
20251218_033655_pyramid_with_rounded_base_v1,ok,1.8444327959327804,22.231437200505052,19.032025254644555,0.0,0.0,0.0,22231437.20050505,247283057.42802906,True,,,generated/qwen2.5-vl-72b-instruct/20251218_033655_pyramid_with_rounded_base_v1.py,data/models/20251218_033655_pyramid_with_rounded_base_v1.py,
20251218_033656__equipment_hanger_bracket_v1,ok,0.15241982568991058,45.80902399094756,198.01512397008432,0.0,0.0,0.0,45809023.99094756,883412769.3530838,True,,,generated/qwen2.5-vl-72b-instruct/20251218_033656__equipment_hanger_bracket_v1.py,data/models/20251218_033656__equipment_hanger_bracket_v1.py,
20251218_033656_hexagonal_washer_v1,ok,0.901412268781126,3.7931281648697017,15.083326108212423,0.0,0.0,0.0,3793128.164869702,10110420.6318173,True,,,generated/qwen2.5-vl-72b-instruct/20251218_033656_hexagonal_washer_v1.py,data/models/20251218_033656_hexagonal_washer_v1.py,
20251218_033656_hollow_cube_v1,ok,1.7777777777777775,26.720778618895075,15.826606245546635,0.0,0.0,0.0,26720778.618895076,1292065598.222027,True,,,generated/qwen2.5-vl-72b-instruct/20251218_033656_hollow_cube_v1.py,data/models/20251218_033656_hollow_cube_v1.py,
20251218_033656_keyed_reduced_shaft_v1,ok,0.6085522741901531,38.93285793762827,59.10319564811924,0.0,0.0,0.0,38932857.93762827,1005858686.7802851,True,,,generated/qwen2.5-vl-72b-instruct/20251218_033656_keyed_reduced_shaft_v1.py,data/models/20251218_033656_keyed_reduced_shaft_v1.py,
20251218_033657__panel_v1,ok,0.04170484594509767,32.87939477884665,46.870483438022845,0.0,0.0,0.0,32879394.778846655,707203617.9902116,True,,,generated/qwen2.5-vl-72b-instruct/20251218_033657__panel_v1.py,data/models/20251218_033657__panel_v1.py,
20251218_033657__quick_coupler_v1,ok,1.6714688394444543,70.05851773292223,331.57672433803447,0.0,0.0,0.0,70058517.73292223,3503491883.785179,True,,,generated/qwen2.5-vl-72b-instruct/20251218_033657__quick_coupler_v1.py,data/models/20251218_033657__quick_coupler_v1.py,
20251218_033657_beveled_thick_wall_tube_v1,ok,0.215910398282038,27.88872142197165,23.43890355041528,0.0,0.0,0.0,27888721.42197165,1170843431.8899646,True,,,generated/qwen2.5-vl-72b-instruct/20251218_033657_beveled_thick_wall_tube_v1.py,data/models/20251218_033657_beveled_thick_wall_tube_v1.py,
20251218_033657_plastic_lever_mount_v1,ok,0.11610466395452942,16.86161811738266,17.969066419039915,0.0,0.0,0.0,16861618.11738266,33485110.07862356,True,,,generated/qwen2.5-vl-72b-instruct/20251218_033657_plastic_lever_mount_v1.py,data/models/20251218_033657_plastic_lever_mount_v1.py,
20251218_033658__mounting_v1,ok,0.3751690368915375,15.825253759615824,43.43160431401397,0.0,0.0,0.0,15825253.759615825,174586024.377508,True,,,generated/qwen2.5-vl-72b-instruct/20251218_033658__mounting_v1.py,data/models/20251218_033658__mounting_v1.py,
20251218_033658__truncated_sphere_with_notch_v1,ok,0.9999728988516151,51.506492950631156,38.51648674903101,0.0,0.0,0.0,51506492.95063116,2343915869.889082,True,,,generated/qwen2.5-vl-72b-instruct/20251218_033658__truncated_sphere_with_notch_v1.py,data/models/20251218_033658__truncated_sphere_with_notch_v1.py,
20251218_033658_bracket_fitting_v1,ok,0.24509000802329928,23.717082451262844,71.46932214294881,0.0,0.0,0.0,23717082.451262843,311577418.66127837,True,,,generated/qwen2.5-vl-72b-instruct/20251218_033658_bracket_fitting_v1.py,data/models/20251218_033658_bracket_fitting_v1.py,
20251218_033659__t_handle_lever_v1,ok,0.9999933947138566,47.981747761360005,114.70192319337735,0.0,0.0,0.0,47981747.761360005,3238414315.6573973,True,,,generated/qwen2.5-vl-72b-instruct/20251218_033659__t_handle_lever_v1.py,data/models/20251218_033659__t_handle_lever_v1.py,
