sample_id,status,vol_rel,hausdorff,xi_l2,p_value,p_pc,p_xi,z_hausdorff,z_chamfer,code_success,code_error_type,code_error_msg,generated_path,truth_path,error
20251218_033650_brass_spacer_tube_v1,code_error,,,,,,,,,False,NameError,name 'python' is not defined,generated/llama-4-maverick/20251218_033650_brass_spacer_tube_v1.py,data/models/20251218_033650_brass_spacer_tube_v1.py,
20251218_033651_dowel_pin_brass_v1,ok,3.8350543241944486,27.300893673119933,3.574119084484953,0.0,0.0,0.0,27300893.673119936,32259381.036055688,True,,,generated/llama-4-maverick/20251218_033651_dowel_pin_brass_v1.py,data/models/20251218_033651_dowel_pin_brass_v1.py,
20251218_033652_grip_handle_spacer_v1,ok,0.16506840328372446,7.213688249425675,19.152891301551048,0.0,0.0,0.0,7213688.249425676,44813732.033504635,True,,,generated/llama-4-maverick/20251218_033652_grip_handle_spacer_v1.py,data/models/20251218_033652_grip_handle_spacer_v1.py,
20251218_033652_hook_bracket_v1,code_error,,,,,,,,,False,ValueError,Cannot find a solid on the stack or in the parent chain,generated/llama-4-maverick/20251218_033652_hook_bracket_v1.py,data/models/20251218_033652_hook_bracket_v1.py,
20251218_033654__sliding_joint_v1,ok,0.07001982548036016,9.758102415350905,74.54575548363337,0.0,0.0,0.0,9758102.415350905,37338737.33801427,True,,,generated/llama-4-maverick/20251218_033654__sliding_joint_v1.py,data/models/20251218_033654__sliding_joint_v1.py,
20251218_033654_box_with_fillet_v1,code_error,,,,,,,,,False,ValueError,Cannot find a solid on the stack or in the parent chain,generated/llama-4-maverick/20251218_033654_box_with_fillet_v1.py,data/models/20251218_033654_box_with_fillet_v1.py,
20251218_033654_cube_with_beveled_corners_v1,code_error,,,,,,,,,False,Standard_Failure,BRep_API: command not done,generated/llama-4-maverick/20251218_033654_cube_with_beveled_corners_v1.py,data/models/20251218_033654_cube_with_beveled_corners_v1.py,
20251218_033655_pyramid_with_rounded_base_v1,code_error,,,,,,,,,False,ValueError,More than one wire or face is required,generated/llama-4-maverick/20251218_033655_pyramid_with_rounded_base_v1.py,data/models/20251218_033655_pyramid_with_rounded_base_v1.py,
20251218_033656__equipment_hanger_bracket_v1,code_error,,,,,,,,,False,SyntaxError,"'(' was never closed (<string>, line 1)",generated/llama-4-maverick/20251218_033656__equipment_hanger_bracket_v1.py,data/models/20251218_033656__equipment_hanger_bracket_v1.py,
20251218_033656_hexagonal_washer_v1,ok,0.014532373836368934,4.893452859512572,24.981532034125735,0.0,0.0,0.0,4893452.859512572,9210163.23707434,True,,,generated/llama-4-maverick/20251218_033656_hexagonal_washer_v1.py,data/models/20251218_033656_hexagonal_washer_v1.py,
20251218_033656_hollow_cube_v1,ok,0.7288888888888889,22.113344568382235,135.53005329090652,0.0,0.0,0.0,22113344.568382237,844992543.1496924,True,,,generated/llama-4-maverick/20251218_033656_hollow_cube_v1.py,data/models/20251218_033656_hollow_cube_v1.py,
20251218_033656_keyed_reduced_shaft_v1,ok,1.4414886500338613,25.447493684248304,14.984884559621856,0.0,0.0,0.0,25447493.684248306,218842315.3394411,True,,,generated/llama-4-maverick/20251218_033656_keyed_reduced_shaft_v1.py,data/models/20251218_033656_keyed_reduced_shaft_v1.py,
20251218_033657__panel_v1,ok,0.03924672618652694,15.142063047911138,41.52323461474213,0.0,0.0,0.0,15142063.04791114,159522896.60002345,True,,,generated/llama-4-maverick/20251218_033657__panel_v1.py,data/models/20251218_033657__panel_v1.py,
20251218_033657__quick_coupler_v1,ok,0.7070051965668704,35.69661627946677,105.46716775377045,0.0,0.0,0.0,35696616.27946677,680254196.8704132,True,,,generated/llama-4-maverick/20251218_033657__quick_coupler_v1.py,data/models/20251218_033657__quick_coupler_v1.py,
20251218_033657_beveled_thick_wall_tube_v1,ok,0.4348025781930937,25.179356624028344,24.358937921805932,0.0,0.0,0.0,25179356.624028344,564612255.2320668,True,,,generated/llama-4-maverick/20251218_033657_beveled_thick_wall_tube_v1.py,data/models/20251218_033657_beveled_thick_wall_tube_v1.py,
20251218_033657_plastic_lever_mount_v1,ok,0.0867953184943093,17.979154596365202,336.60972144567876,0.0,0.0,0.0,17979154.596365202,74934136.26746,True,,,generated/llama-4-maverick/20251218_033657_plastic_lever_mount_v1.py,data/models/20251218_033657_plastic_lever_mount_v1.py,
20251218_033658__mounting_v1,code_error,,,,,,,,,False,NameError,name 'python' is not defined,generated/llama-4-maverick/20251218_033658__mounting_v1.py,data/models/20251218_033658__mounting_v1.py,
20251218_033658__truncated_sphere_with_notch_v1,ok,0.24305778630893107,50.0,34.206064844889944,0.0,0.0,0.0,50000000.0,920014682.5558463,True,,,generated/llama-4-maverick/20251218_033658__truncated_sphere_with_notch_v1.py,data/models/20251218_033658__truncated_sphere_with_notch_v1.py,
20251218_033658_bracket_fitting_v1,code_error,,,,,,,,,False,ValueError,Cannot find a solid on the stack or in the parent chain,generated/llama-4-maverick/20251218_033658_bracket_fitting_v1.py,data/models/20251218_033658_bracket_fitting_v1.py,
20251218_033659__t_handle_lever_v1,ok,0.7898392927486414,75.54870730219133,71.9154405030312,0.0,0.0,0.0,75548707.30219133,3774870603.9210668,True,,,generated/llama-4-maverick/20251218_033659__t_handle_lever_v1.py,data/models/20251218_033659__t_handle_lever_v1.py,
20251218_033659_rounded_edge_prism_v1,code_error,,,,,,,,,False,NameError,name 'python' is not defined,generated/llama-4-maverick/20251218_033659_rounded_edge_prism_v1.py,data/models/20251218_033659_rounded_edge_prism_v1.py,
20251218_033659_rubber_plate_v1,ok,0.02818476969384975,53.62283248453989,1496.7397208257971,0.0,0.0,0.0,53622832.484539896,1483662245.0642,True,,,generated/llama-4-maverick/20251218_033659_rubber_plate_v1.py,data/models/20251218_033659_rubber_plate_v1.py,
20251218_033659_slotted_bushing_v1,code_error,,,,,,,,,False,IndentationError,"expected an indented block after 'for' statement on line 1 (<string>, line 1)",generated/llama-4-maverick/20251218_033659_slotted_bushing_v1.py,data/models/20251218_033659_slotted_bushing_v1.py,
20251218_033659_square_spaced_plate_v1,code_error,,,,,,,,,False,NameError,name 'python' is not defined,generated/llama-4-maverick/20251218_033659_square_spaced_plate_v1.py,data/models/20251218_033659_square_spaced_plate_v1.py,
20251218_033659_standoff_spacer_type_v1,code_error,,,,,,,,,False,Standard_Failure,There are no suitable edges for chamfer or fillet,generated/llama-4-maverick/20251218_033659_standoff_spacer_type_v1.py,data/models/20251218_033659_standoff_spacer_type_v1.py,
20251218_033700__box_with_gro_v1,code_error,,,,,,,,,False,SyntaxError,"'(' was never closed (<string>, line 1)",generated/llama-4-maverick/20251218_033700__box_with_gro_v1.py,data/models/20251218_033700__box_with_gro_v1.py,
20251218_033700__wall_bracket_with_gusset_v1,ok,1.85871727307671,35.32671721806357,119.25553088263901,0.0,0.0,0.0,35326717.21806357,955212800.029921,True,,,generated/llama-4-maverick/20251218_033700__wall_bracket_with_gusset_v1.py,data/models/20251218_033700__wall_bracket_with_gusset_v1.py,
20251218_033700_brass_threaded_orifice_flange_v1,ok,0.644376126778291,21.83943273348645,15.080317647478445,0.0,0.0,0.0,21839432.73348645,351546161.49887097,True,,,generated/llama-4-maverick/20251218_033700_brass_threaded_orifice_flange_v1.py,data/models/20251218_033700_brass_threaded_orifice_flange_v1.py,
20251218_033700_vented_split_v1,ok,0.03492266219984362,15.855117119200147,20.895220194676554,0.0,0.0,0.0,15855117.119200148,285813729.1518512,True,,,generated/llama-4-maverick/20251218_033700_vented_split_v1.py,data/models/20251218_033700_vented_split_v1.py,
20251218_033701_base_plate_with_slots_v1,code_error,,,,,,,,,False,Standard_Failure,BRep_API: command not done,generated/llama-4-maverick/20251218_033701_base_plate_with_slots_v1.py,data/models/20251218_033701_base_plate_with_slots_v1.py,
20251218_033701_hollow_torus_v1,code_error,,,,,,,,,False,Standard_Failure,BRep_API: command not done,generated/llama-4-maverick/20251218_033701_hollow_torus_v1.py,data/models/20251218_033701_hollow_torus_v1.py,
20251218_033701_step_pulley_with_keyway_v1,ok,0.09492468849729893,17.00010272060792,7.067083275983658,0.0,0.0,0.0,17000102.72060792,51958806.89866196,True,,,generated/llama-4-maverick/20251218_033701_step_pulley_with_keyway_v1.py,data/models/20251218_033701_step_pulley_with_keyway_v1.py,
20251218_033701_thick_spacer_v1,code_error,,,,,,,,,False,SyntaxError,"'(' was never closed (<string>, line 1)",generated/llama-4-maverick/20251218_033701_thick_spacer_v1.py,data/models/20251218_033701_thick_spacer_v1.py,
20251218_033702_h_beam_bridge_support_v1,code_error,,,,,,,,,False,SyntaxError,"'(' was never closed (<string>, line 1)",generated/llama-4-maverick/20251218_033702_h_beam_bridge_support_v1.py,data/models/20251218_033702_h_beam_bridge_support_v1.py,
20251218_033702_hollow_core_beam_v1,code_error,,,,,,,,,False,SyntaxError,"'(' was never closed (<string>, line 1)",generated/llama-4-maverick/20251218_033702_hollow_core_beam_v1.py,data/models/20251218_033702_hollow_core_beam_v1.py,
20251218_033702_hose_clamp_stainless_v1,ok,0.08853062739750096,29.034029912424206,33.23858931109507,0.0,0.0,0.0,29034029.912424207,9060156.695962895,True,,,generated/llama-4-maverick/20251218_033702_hose_clamp_stainless_v1.py,data/models/20251218_033702_hose_clamp_stainless_v1.py,
20251218_033702_perforated_mounting_plate_v1,code_error,,,,,,,,,False,Standard_Failure,BRep_API: command not done,generated/llama-4-maverick/20251218_033702_perforated_mounting_plate_v1.py,data/models/20251218_033702_perforated_mounting_plate_v1.py,
20251218_033703_split_panel_mounted_housing_v1,ok,1.5770902854263946,16.09347693943108,328.43487555708015,0.0,0.0,0.0,16093476.939431082,91246992.76749253,True,,,generated/llama-4-maverick/20251218_033703_split_panel_mounted_housing_v1.py,data/models/20251218_033703_split_panel_mounted_housing_v1.py,
20251218_033704__clevis_bolt_v1,ok,5.285767708179197,27.461609566811628,35.27588176990288,0.0,0.0,0.0,27461609.56681163,686136913.7756069,True,,,generated/llama-4-maverick/20251218_033704__clevis_bolt_v1.py,data/models/20251218_033704__clevis_bolt_v1.py,
20251218_033704_machine_screw_unc_thread_v1,code_error,,,,,,,,,False,SyntaxError,"'(' was never closed (<string>, line 1)",generated/llama-4-maverick/20251218_033704_machine_screw_unc_thread_v1.py,data/models/20251218_033704_machine_screw_unc_thread_v1.py,
20251218_033704_quick_disconnect_adapter_v1,ok,2.703797605721811,20.542521563707776,72.66032536991547,0.0,0.0,0.0,20542521.563707776,361169633.6334569,True,,,generated/llama-4-maverick/20251218_033704_quick_disconnect_adapter_v1.py,data/models/20251218_033704_quick_disconnect_adapter_v1.py,
20251218_033704_ring_retainer_clip_v1,ok,0.031248908411402994,2.2360679774997902,4.090904400717311,0.0,0.0,0.0,2236067.9774997905,670822.544820057,True,,,generated/llama-4-maverick/20251218_033704_ring_retainer_clip_v1.py,data/models/20251218_033704_ring_retainer_clip_v1.py,
20251218_033704_square_ended_tube_v1,code_error,,,,,,,,,False,Standard_Failure,BRep_API: command not done,generated/llama-4-maverick/20251218_033704_square_ended_tube_v1.py,data/models/20251218_033704_square_ended_tube_v1.py,
20251218_033705_base_reinforcement_plate_v1,code_error,,,,,,,,,False,SyntaxError,"'(' was never closed (<string>, line 1)",generated/llama-4-maverick/20251218_033705_base_reinforcement_plate_v1.py,data/models/20251218_033705_base_reinforcement_plate_v1.py,
20251218_033705_box_with_beveled_corners_v1,ok,0.1263127971988304,14.796534066492967,2885.973965426954,0.0,0.0,0.0,14796534.066492967,190501169.20982784,True,,,generated/llama-4-maverick/20251218_033705_box_with_beveled_corners_v1.py,data/models/20251218_033705_box_with_beveled_corners_v1.py,
20251218_033705_dowel_pin_with_hex_head_v1,ok,1.5422622996304542,18.110856565305728,1454.5028904148758,0.0,0.0,0.0,18110856.56530573,301450042.1592531,True,,,generated/llama-4-maverick/20251218_033705_dowel_pin_with_hex_head_v1.py,data/models/20251218_033705_dowel_pin_with_hex_head_v1.py,
20251218_033705_split_panel_cover_housing_v1,ok,1.031549320333868,42.48462283134555,707.7165823666458,0.0,0.0,0.0,42484622.83134555,640737433.2884165,True,,,generated/llama-4-maverick/20251218_033705_split_panel_cover_housing_v1.py,data/models/20251218_033705_split_panel_cover_housing_v1.py,
20251218_033706_hat_channel_rail_support_v1,ok,0.09911203553951406,11.139049140528178,77.30013872467917,0.0,0.0,0.0,11139049.140528178,37778945.91290927,True,,,generated/llama-4-maverick/20251218_033706_hat_channel_rail_support_v1.py,data/models/20251218_033706_hat_channel_rail_support_v1.py,
20251218_033706_square_profile_v1,code_error,,,,,,,,,False,NameError,name 'python' is not defined,generated/llama-4-maverick/20251218_033706_square_profile_v1.py,data/models/20251218_033706_square_profile_v1.py,
20251218_033707_channel_cross_beam_v1,ok,0.7957910158958101,5.385164807134504,458.7148436803968,0.0,0.0,0.0,5385164.807134504,12026341.268402783,True,,,generated/llama-4-maverick/20251218_033707_channel_cross_beam_v1.py,data/models/20251218_033707_channel_cross_beam_v1.py,
20251218_033707_cover_adapter_plate_v1,code_error,,,,,,,,,False,SyntaxError,"'(' was never closed (<string>, line 1)",generated/llama-4-maverick/20251218_033707_cover_adapter_plate_v1.py,data/models/20251218_033707_cover_adapter_plate_v1.py,
20251218_033708_square_reducing_stainless_flpare_v1,code_error,,,,,,,,,False,ValueError,Cannot find a solid on the stack or in the parent chain,generated/llama-4-maverick/20251218_033708_square_reducing_stainless_flpare_v1.py,data/models/20251218_033708_square_reducing_stainless_flpare_v1.py,
20251218_033709__cube_with_ridge_v1,code_error,,,,,,,,,False,Standard_Failure,BRep_API: command not done,generated/llama-4-maverick/20251218_033709__cube_with_ridge_v1.py,data/models/20251218_033709__cube_with_ridge_v1.py,
20251218_033709_angle_iron_frame_v1,code_error,,,,,,,,,False,SyntaxError,"'(' was never closed (<string>, line 1)",generated/llama-4-maverick/20251218_033709_angle_iron_frame_v1.py,data/models/20251218_033709_angle_iron_frame_v1.py,
20251218_033709_composite_shapes_v1,code_error,,,,,,,,,False,SyntaxError,"'(' was never closed (<string>, line 1)",generated/llama-4-maverick/20251218_033709_composite_shapes_v1.py,data/models/20251218_033709_composite_shapes_v1.py,
20251218_033709_frame_mount_plate_v1,ok,0.4560979702337764,23.56374333589636,220.79295154537445,0.0,0.0,0.0,23563743.335896358,222701766.4804854,True,,,generated/llama-4-maverick/20251218_033709_frame_mount_plate_v1.py,data/models/20251218_033709_frame_mount_plate_v1.py,
20251218_033709_keyed_coupling_v1,ok,0.3820695399709208,37.595003096662836,17.734077648303703,0.0,0.0,0.0,37595003.096662834,75909565.10646251,True,,,generated/llama-4-maverick/20251218_033709_keyed_coupling_v1.py,data/models/20251218_033709_keyed_coupling_v1.py,
20251218_033709_tabs_bracket_v1,ok,0.4574837668526765,17.856265568162552,42.376281618555815,0.0,0.0,0.0,17856265.568162553,195563503.84330535,True,,,generated/llama-4-maverick/20251218_033709_tabs_bracket_v1.py,data/models/20251218_033709_tabs_bracket_v1.py,
20251218_033709_wall_mount_bracket_with_tabs_v1,code_error,,,,,,,,,False,SyntaxError,"'(' was never closed (<string>, line 1)",generated/llama-4-maverick/20251218_033709_wall_mount_bracket_with_tabs_v1.py,data/models/20251218_033709_wall_mount_bracket_with_tabs_v1.py,
